Price,Date_Place,Brand,Year,New_Car,Engine,Km,Transmission,Gas
€89.000,Paphos,Land,2020,Rover Defender ,"2,0L",50000,Automatic,Diesel
€349.000,Paphos,Lamborghini,2020,Urus ,"4,0L",15000,Automatic,Petrol
€3.500                    ,Limassol,Chevrolet,2012,Spark ,"1,0L",130000,Manual,Petrol
€15.650,Limassol,Nissan,2019,Note e-Power ,"1,2L",32000,Automatic,Hybrid
€29.950,Limassol,Subaru,2020,XV ,"2,0L",13000,Automatic,Hybrid
€18.500,Limassol,Peugeot,2018,308 ,"1,6L",69000,Automatic,Diesel
€40.000,Paphos,BMW,2014,M4 ,"3,0L",82000,Automatic,Petrol
€135.000,Limassol,Ferrari,2009,F430 ,"4,3L",5680,Automatic,Petrol
€7.000,Larnaca,Audi,2007,A4 ,"2,0L",156000,Automatic,Petrol
€26.000,Limassol,Land,2011,Rover Range Rover Sport ,"3,0L",163000,Automatic,Diesel
€35.400,Limassol,Mercedes-Benz,2017,GLC-Class ,"2,1L",70000,Automatic,Diesel
€32.000,Larnaca,Porsche,2012,Cayenne ,"3,0L",254000,Automatic,Diesel
€5.400,Paphos,Nissan,2010,March ,"1,2L",145000,Automatic,Petrol
€5.000,Famagusta,Suzuki,2008,Swift ,"1,2L",213000,Automatic,Petrol
€103.000,Lefkosia,Mercedes-Benz,2022,GLE-Class ,"2,9L",40,Automatic,Diesel
€133.000,Lefkosia,Land,2022,Rover Range Rover ,"3,0L",80,Automatic,Hybrid
€103.000,Lefkosia,Mercedes-Benz,2022,GLE-Class ,"2,9L",25,Automatic,Diesel
€88.000,Lefkosia,Tesla,2022,Model Y Elec,tric,16,Automatic,Electric
€89.000,Lefkosia,Tesla,2022,Model Y Elec,tric,12,Automatic,Electric
€88.000,Lefkosia,Tesla,2022,Model Y Elec,tric,12,Automatic,Electric
€88.000,Lefkosia,Tesla,2022,Model Y Elec,tric,16,Automatic,Electric
€212.000,Lefkosia,Land,2022,Rover Range Rover ,"3,0L",62,Automatic,Plug-In
€270.000,Lefkosia,Bentley,2022,Bentayga ,"4,0L",80,Automatic,Petrol
€31.000,Lefkosia,Mercedes-Benz,2019,A-Class ,"2,0L",28250,Automatic,Diesel
€9.900,Larnaca,BMW,1998,Z3 ,"1,9L",189000,Automatic,Petrol
€88.000,Lefkosia,Tesla,2022,Model Y Elec,tric,80,Automatic,Electric
€91.000,Lefkosia,Tesla,2022,Model Y Elec,tric,80,Automatic,Electric
€269.000,Lefkosia,Bentley,2022,Continental GT ,"4,0L",160,Automatic,Petrol
€173.000,Lefkosia,Land,2022,Rover Range Rover ,"3,0L",80,Automatic,Hybrid
€80.000,Lefkosia,Maserati,2022,Grecale ,"2,0L",5,Automatic,Hybrid
€82.000,Lefkosia,Maserati,2022,Grecale ,"2,0L",82000,Automatic,Hybrid
€98.000,Lefkosia,Maserati,2022,Grecale ,"2,0L",5,Automatic,Hybrid
€93.000,Lefkosia,Maserati,2022,Grecale ,"2,0L",8,Automatic,Hybrid
€1.500,Limassol,Nissan,1998,Primera ,"1,6L",24000,Automatic,Petrol
€69.000,Lefkosia,Tesla,2022,Model 3 Elec,tric,3540,Automatic,Electric
€210.000,Lefkosia,Land,2022,Rover Range Rover ,"3,0L",32,Automatic,Hybrid
€191.000,Lefkosia,Land,2022,Rover Range Rover ,"3,0L",32,Automatic,Hybrid
€371.000,Lefkosia,Mercedes-Benz,2021,G-Class ,"4,0L",16898,Automatic,Petrol
€224.000,Lefkosia,Land,2022,Rover Range Rover ,"4,4L",8,Automatic,Petrol
€163.000,Lefkosia,Land,2022,Rover Range Rover ,"3,0L",56,Automatic,Diesel
€159.000,Lefkosia,Porsche,2021,Cayenne ,"4,0L",10517,Automatic,Petrol
€329.500,Lefkosia,Maserati,2022,MC20 ,"3,0L",8,Automatic,Petrol
€235.000,Lefkosia,Land,2022,Rover Range Rover ,"4,4L",8,Automatic,Petrol
€91.000,Lefkosia,Tesla,2022,Model Y Elec,tric,20,Automatic,Electric
