Price_x,Date_Place,Brand,New_Car,Transmission,Gas,Price,Km,Year,Engine
€89.000,Paphos,Land,Rover Defender ,Automatic,Diesel,89000,50000,2020,2.0
€349.000,Paphos,Lamborghini,Urus ,Automatic,Petrol,349000,15000,2020,4.0
€3.500                    ,Limassol,Chevrolet,Spark ,Manual,Petrol,3500,130000,2012,1.0
€15.650,Limassol,Nissan,Note e-Power ,Automatic,Hybrid,15650,32000,2019,1.2
€29.950,Limassol,Subaru,XV ,Automatic,Hybrid,29950,13000,2020,2.0
€18.500,Limassol,Peugeot,308 ,Automatic,Diesel,18500,69000,2018,1.6
€40.000,Paphos,BMW,M4 ,Automatic,Petrol,40000,82000,2014,3.0
€135.000,Limassol,Ferrari,F430 ,Automatic,Petrol,135000,5680,2009,4.3
€7.000,Larnaca,Audi,A4 ,Automatic,Petrol,7000,156000,2007,2.0
€26.000,Limassol,Land,Rover Range Rover Sport ,Automatic,Diesel,26000,163000,2011,3.0
€35.400,Limassol,Mercedes-Benz,GLC-Class ,Automatic,Diesel,35400,70000,2017,2.1
€32.000,Larnaca,Porsche,Cayenne ,Automatic,Diesel,32000,254000,2012,3.0
€5.400,Paphos,Nissan,March ,Automatic,Petrol,5400,145000,2010,1.2
€5.000,Famagusta,Suzuki,Swift ,Automatic,Petrol,5000,213000,2008,1.2
€103.000,Lefkosia,Mercedes-Benz,GLE-Class ,Automatic,Diesel,103000,40,2022,2.9
€133.000,Lefkosia,Land,Rover Range Rover ,Automatic,Hybrid,133000,80,2022,3.0
€103.000,Lefkosia,Mercedes-Benz,GLE-Class ,Automatic,Diesel,103000,25,2022,2.9
€88.000,Lefkosia,Tesla,Model Y Elec,Automatic,Electric,88000,16,2022,
€89.000,Lefkosia,Tesla,Model Y Elec,Automatic,Electric,89000,12,2022,
€88.000,Lefkosia,Tesla,Model Y Elec,Automatic,Electric,88000,12,2022,
€88.000,Lefkosia,Tesla,Model Y Elec,Automatic,Electric,88000,16,2022,
€212.000,Lefkosia,Land,Rover Range Rover ,Automatic,Plug-In,212000,62,2022,3.0
€270.000,Lefkosia,Bentley,Bentayga ,Automatic,Petrol,270000,80,2022,4.0
€31.000,Lefkosia,Mercedes-Benz,A-Class ,Automatic,Diesel,31000,28250,2019,2.0
€9.900,Larnaca,BMW,Z3 ,Automatic,Petrol,9900,189000,1998,1.9
€88.000,Lefkosia,Tesla,Model Y Elec,Automatic,Electric,88000,80,2022,
€91.000,Lefkosia,Tesla,Model Y Elec,Automatic,Electric,91000,80,2022,
€269.000,Lefkosia,Bentley,Continental GT ,Automatic,Petrol,269000,160,2022,4.0
€173.000,Lefkosia,Land,Rover Range Rover ,Automatic,Hybrid,173000,80,2022,3.0
€80.000,Lefkosia,Maserati,Grecale ,Automatic,Hybrid,80000,5,2022,2.0
€82.000,Lefkosia,Maserati,Grecale ,Automatic,Hybrid,82000,82000,2022,2.0
€98.000,Lefkosia,Maserati,Grecale ,Automatic,Hybrid,98000,5,2022,2.0
€93.000,Lefkosia,Maserati,Grecale ,Automatic,Hybrid,93000,8,2022,2.0
€1.500,Limassol,Nissan,Primera ,Automatic,Petrol,1500,24000,1998,1.6
€69.000,Lefkosia,Tesla,Model 3 Elec,Automatic,Electric,69000,3540,2022,
€210.000,Lefkosia,Land,Rover Range Rover ,Automatic,Hybrid,210000,32,2022,3.0
€191.000,Lefkosia,Land,Rover Range Rover ,Automatic,Hybrid,191000,32,2022,3.0
€371.000,Lefkosia,Mercedes-Benz,G-Class ,Automatic,Petrol,371000,16898,2021,4.0
€224.000,Lefkosia,Land,Rover Range Rover ,Automatic,Petrol,224000,8,2022,4.4
€163.000,Lefkosia,Land,Rover Range Rover ,Automatic,Diesel,163000,56,2022,3.0
€159.000,Lefkosia,Porsche,Cayenne ,Automatic,Petrol,159000,10517,2021,4.0
€329.500,Lefkosia,Maserati,MC20 ,Automatic,Petrol,329500,8,2022,3.0
€235.000,Lefkosia,Land,Rover Range Rover ,Automatic,Petrol,235000,8,2022,4.4
€91.000,Lefkosia,Tesla,Model Y Elec,Automatic,Electric,91000,20,2022,
€167.000,Lefkosia,Porsche,Taycan Elec,Automatic,Electric,167000,563,2022,
€55.000,Lefkosia,Mercedes-Benz,GLE-Class ,Automatic,Diesel,55000,77362,2018,3.0
€69.000,Lefkosia,Tesla,Model 3 Elec,Automatic,Electric,69000,9994,2021,
€91.000,Lefkosia,Tesla,Model Y Elec,Automatic,Electric,91000,40,2022,
€101.000,Lefkosia,Mercedes-Benz,GLE-Class ,Automatic,Diesel,101000,8,2022,3.0
€66.000,Lefkosia,Mercedes-Benz,C-Class ,Automatic,Diesel,66000,8,2022,2.0
€80.000,Lefkosia,Maserati,Levante ,Automatic,Hybrid,80000,5375,2022,2.0
€71.000,Lefkosia,Tesla,Model 3 Elec,Automatic,Electric,71000,4103,2021,
€104.000,Lefkosia,Tesla,Model S Elec,Automatic,Electric,104000,43584,2020,
€107.500,Lefkosia,Maserati,Quattroporte ,Automatic,Petrol,107500,2962,2022,3.0
€87.500,Lefkosia,Maserati,Ghibli ,Automatic,Hybrid,87500,5,2022,2.0
€61.000,Lefkosia,Mercedes-Benz,C-Class ,Automatic,Hybrid,61000,48,2022,1.5
€70.500,Lefkosia,Tesla,Model 3 Elec,Automatic,Electric,70500,3802,2021,
€2.600,Lefkosia,Toyota,Corolla ,Automatic,Petrol,2600,240,2001,1.6
€85.500,Lefkosia,Maserati,Levante ,Automatic,Petrol,85500,2356,2021,3.0
€160.000,Lefkosia,Mercedes-Benz,EQS Elec,Automatic,Electric,160000,122,2022,
€79.000,Lefkosia,Mercedes-Benz,EQC Elec,Automatic,Electric,79000,39860,2021,
€66.500,Lefkosia,Mercedes-Benz,EQA Elec,Automatic,Electric,66500,6739,2021,
€98.000,Lefkosia,BMW,X7 ,Automatic,Diesel,98000,20765,2020,3.0
€53.000,Lefkosia,Mercedes-Benz,E-Class ,Automatic,Plug-In,53000,40410,2019,2.0
€115.500,Lefkosia,Maserati,Levante ,Automatic,Petrol,115500,8,2022,3.0
€117.000,Lefkosia,Maserati,Levante ,Automatic,Hybrid,117000,5,2022,2.0
€69.000,Lefkosia,Mercedes-Benz,E-Class ,Automatic,Plug-In,69000,3218,2021,2.0
€11.500,Larnaca,Mercedes-Benz,E-Class ,Automatic,Diesel,11500,204000,2011,2.1
€31.000,Paphos,MG,6 ,Manual,Petrol,31000,73500,1968,3.0
€1.650,Larnaca,BMW,5-Series ,Automatic,Petrol,1650,201929,1989,2.0
€7.800,Paphos,Smart,City ,Automatic,Petrol,7800,37000,2013,1.0
€30.000,Famagusta,Maserati,Ghibli ,Automatic,Diesel,30000,174000,2014,3.0
€13.000,Lefkosia,Hyundai,i20 ,Automatic,Petrol,13000,92348,2019,1.0
€18.200,Limassol,Infiniti,Q50 ,Automatic,Diesel,18200,46000,2017,2.2
€24.900,Lefkosia,Audi,Q3 ,Automatic,Diesel,24900,85000,2015,2.0
€360.000,Lefkosia,Ferrari,F8 Tributo ,Automatic,Petrol,360000,2414,2021,3.9
€81.500,Lefkosia,Maserati,Grecale ,Automatic,Hybrid,81500,5,2023,2.0
€72.000,Lefkosia,Maserati,Grecale ,Automatic,Plug-In,72000,5,2023,2.0
€5.900,Limassol,Mercedes-Benz,B-Class ,Automatic,Petrol,5900,170000,2009,1.5
€67.000,Lefkosia,Land,Rover Range Rover Sport ,Automatic,Diesel,67000,41725,2020,3.0
€34.000,Lefkosia,Mercedes-Benz,C-Class ,Automatic,Diesel,34000,33863,2019,2.0
€65.000,Lefkosia,Mercedes-Benz,GLE-Class ,Automatic,Diesel,65000,54653,2019,2.9
€44.000,Lefkosia,BMW,X4 ,Automatic,Diesel,44000,25689,2019,2.0
€55.000,Lefkosia,Ford,Mustang Mach-E Elec,Automatic,Electric,55000,22550,2021,
€43.000,Lefkosia,Mercedes-Benz,GLC-Class ,Automatic,Diesel,43000,23263,2019,2.0
€64.000,Lefkosia,Mercedes-Benz,GLE-Class ,Automatic,Diesel,64000,49979,2019,2.0
€63.000,Lefkosia,Mercedes-Benz,GLE-Class ,Automatic,Diesel,63000,63198,2019,2.9
€63.000,Lefkosia,Mercedes-Benz,GLE-Class ,Automatic,Diesel,63000,30785,2020,2.0
€40.000,Lefkosia,Mercedes-Benz,GLC-Class ,Automatic,Diesel,40000,45481,2019,2.0
€44.000,Lefkosia,Mercedes-Benz,GLC-Class ,Automatic,Diesel,44000,26682,2020,2.0
€61.000,Lefkosia,Mercedes-Benz,GLE-Class ,Automatic,Diesel,61000,58226,2020,2.0
€63.000,Lefkosia,Mercedes-Benz,GLE-Class ,Automatic,Diesel,63000,9479,2019,2.9
€56.000,Lefkosia,Mercedes-Benz,GLC-Class ,Automatic,Hybrid,56000,10367,2021,2.0
€93.000,Lefkosia,Mercedes-Benz,GLE-Class ,Automatic,Diesel,93000,11125,2022,2.9
€69.000,Lefkosia,BMW,4-Series ,Automatic,Hybrid,69000,33,2023,2.0
€403.000,Lefkosia,Lamborghini,Urus ,Automatic,Petrol,403000,10,2023,4.0
€84.500,Lefkosia,Maserati,Grecale ,Automatic,Hybrid,84500,10,2023,2.0
€110.000,Lefkosia,Maserati,Levante ,Automatic,Hybrid,110000,10,2023,2.0
€64.000,Lefkosia,Mercedes-Benz,GLE-Class ,Automatic,Diesel,64000,34980,2020,2.0
€42.000,Lefkosia,Mercedes-Benz,GLC-Class ,Automatic,Diesel,42000,21269,2019,2.0
€266.000,Lefkosia,Bentley,Bentayga ,Automatic,Petrol,266000,46,2023,4.0
€65.000,Lefkosia,Maserati,Ghibli ,Automatic,Petrol,65000,14484,2019,3.0
€72.000,Lefkosia,Mercedes-Benz,E-Class ,Automatic,Plug-In,72000,14442,2021,2.0
€21.900,Limassol,Nissan,Navara ,Automatic,Diesel,21900,90000,2017,2.3
€65.000,Lefkosia,Mercedes-Benz,GLE-Class ,Automatic,Diesel,65000,47000,2020,2.0
€48.000,Lefkosia,Mercedes-Benz,GLC-Class ,Automatic,Hybrid,48000,47012,2020,2.0
€51.000,Lefkosia,Mercedes-Benz,GLC-Class ,Automatic,Diesel,51000,53832,2019,2.0
€46.000,Lefkosia,Mercedes-Benz,GLC-Class ,Automatic,Diesel,46000,17685,2019,2.0
€13.900,Limassol,Toyota,Vitz ,Automatic,Petrol,13900,29200,2018,1.3
€43.000,Lefkosia,Mercedes-Benz,GLC-Class ,Automatic,Diesel,43000,40406,2019,2.0
€77.000,Lefkosia,BMW,X4 ,Automatic,Hybrid,77000,35,2022,2.0
€12.900,Limassol,Mitsubishi,Mirage ,Automatic,Petrol,12900,2657,2020,1.2
€52.000,Lefkosia,Mercedes-Benz,GLC-Class ,Automatic,Hybrid,52000,39316,2020,2.0
€111.000,Lefkosia,Mercedes-Benz,GLE-Class ,Automatic,Diesel,111000,82,2022,2.9
€80.000,Lefkosia,Mercedes-Benz,GLC-Class ,Automatic,Diesel,80000,53,2022,2.0
€155.000,Lefkosia,Land,Rover Defender ,Automatic,Petrol,155000,160000,2022,5.0
€72.000,Lefkosia,Land,Rover Range Rover Velar ,Automatic,Hybrid,72000,8466,2022,2.0
€33.000,Lefkosia,Mercedes-Benz,GLA-Class ,Automatic,Petrol,33000,36580,2018,1.6
€263.000,Lefkosia,Bentley,Azure ,Automatic,Petrol,263000,41,2022,4.0
€88.000,Lefkosia,Tesla,Model Y Elec,Automatic,Electric,88000,10,2022,
€88.000,Lefkosia,Tesla,Model Y Elec,Automatic,Electric,88000,10,2022,
€280.000,Lefkosia,Bentley,Azure ,Automatic,Petrol,280000,37,2022,4.0
€49.000,Lefkosia,Mercedes-Benz,GLC-Class ,Automatic,Diesel,49000,22120,2019,2.0
€88.000,Lefkosia,Tesla,Model Y Elec,Automatic,Electric,88000,40,2022,
€88.000,Lefkosia,Tesla,Model Y Elec,Automatic,Electric,88000,40,2022,
€99.000,Lefkosia,Mercedes-Benz,GLE-Class ,Automatic,Diesel,99000,1862,2022,2.9
€46.000,Lefkosia,Mercedes-Benz,GLC-Class ,Automatic,Diesel,46000,41097,2020,2.0
€43.000,Lefkosia,Mercedes-Benz,GLC-Class ,Automatic,Diesel,43000,33979,2019,2.0
